ID,Messages,prison,worship,attractive,farming,kill,banking,aggression,blue_collar_job,messaging,youth,communication,wealthy,politeness,affection,dominant_personality,childish,magic,family,love,deception,sleep,surprise,party,white_collar_job,masculine,swearing_terms,cold,morning,fun,play,money,reading,fight,social_media,help,technology,rural,ugliness,sexual,restaurant,wedding,military,dominant_heirarchical,vacation,confusion,positive_emotion,musical,superhero,fire,leader,economics,law,divine,smell,poor,optimism,injury,crime,listen,meeting,warmth,real_estate,fabric,science,programming,beach,night,phone,horror,cooking,speaking,shopping,celebration,school,business,plant,air_travel,health,cleaning,fashion,driving,writing,philosophy,ridicule,hearing,government,eating,home,text_abbreviations,violence,healing,shame,hygiene,journalism,friends,disgust,swimming,pet,disappointment,furniture,religion,ocean,music,hiking,royalty,pain,sympathy,fear,emotional,art,shape_and_size,hipster,envy,exercise,irritability,beauty,payment,tool,sound,leisure,pride,appearance,ship,nervousness,lust,ancient,stealing,neglect,monster,movement,independence,trust,anger,valuable,exotic,power,office,achievement,internet,weapon,car,giving,occupation,rage,liquid,sports,water,joy,death,competing,strength,clothing,dispute,domestic_work,urban,work,traveling,body,vehicle,terrorism,weakness,anticipation,gain,war,negotiate,animal,dance,timidity,alcohol,tourism,children,zest,weather,medieval,contentment,suffering,order,heroic,sailing,exasperation,legend,anonymity,feminine,noise,sadness,toy,computer,torment,breaking,politics,negative_emotion,medical_emergency,hate,cheerfulness,college,NNP,LS,PRP,JJR,VBG,IN,CD,PRP$,VBN,NNPS,NNS,JJS,VBD,JJ,DT,RBS,EX,CC,SYM,VBZ,WDT,RP,UH,RB,NN,WP,VB,POS,WRB,PDT,VBP,TO,FW,MD,RBR,PositiveCnt,NegativeCnt,PositiveStd,NegativeStd,PostitiveAvg,NegativeAvg,SubjectiveCnt,SubjectiveStd,SubjectiveAvg,WordSum,WordAvg,WordStd,CharacterSum,CharacterAvg,CharacterStd,UniqueCnt,Score
m1762,71,0,0,0,0,0,0.002114165,0.002114165,0,0.00422833,0,0.00845666,0,0,0.002114165,0,0,0,0.002114165,0.002114165,0,0,0,0.002114165,0.002114165,0,0,0,0,0,0,0.002114165,0,0.002114165,0.00845666,0,0.00845666,0,0,0,0,0.002114165,0.002114165,0,0.006342495,0,0.00422833,0,0,0,0,0,0,0,0,0,0.002114165,0,0,0.002114165,0.002114165,0,0,0,0,0.002114165,0,0,0.019027484,0,0,0,0,0.00845666,0,0.00422833,0,0,0,0,0,0,0,0,0,0,0,0,0.002114165,0.002114165,0,0,0,0,0.002114165,0.002114165,0,0,0,0,0.002114165,0,0,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0,0,0,0,0,0.00845666,0,0,0,0,0,0.002114165,0,0,0,0,0,0,0,0,0,0.002114165,0.002114165,0,0.012684989,0,0,0,0.002114165,0,0,0,0,0,0,0,0.002114165,0,0,0.002114165,0,0.00422833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002114165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010570825,0,0,0,0,0,0,0,0.002114165,121,0,6,0,1,8,81,1,1,0,7,0,3,34,0,0,0,4,0,6,0,0,0,9,175,0,4,0,0,0,6,3,3,0,0,4,12,0.205688096,0.033006207,0.296590909,-0.185416667,18,0.169494266,0.431271044,485,6.830985915,4.453154968,2661,37.47887324,23.28020325,71,17
m4937,27,0,0,0,0,0,0,0,0,0.008,0.012,0.02,0.004,0,0.02,0,0.012,0,0.02,0.024,0,0.008,0,0.004,0,0,0.008,0,0.012,0.008,0.012,0,0,0,0.008,0,0,0,0,0,0.016,0,0,0,0,0,0.024,0.008,0,0,0,0.008,0,0,0,0,0.024,0,0,0.016,0.012,0,0,0,0,0,0,0.004,0.02,0,0.012,0.016,0.028,0,0,0.02,0,0,0,0,0,0,0,0,0,0.016,0,0.012,0.004,0,0.008,0.004,0.008,0,0,0.032,0,0,0.008,0,0,0,0,0.004,0,0,0.008,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0.004,0.004,0,0,0,0.008,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0.004,0,0,0.008,0,0,0.012,0.012,0,0.004,0,0,0,0,0.008,0.004,0,0.008,0.008,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0.02,0.004,0,0,0.008,0.008,0,0,0,0,0,0,0.012,0,0.004,0.012,0,0,0,0,0.016,0,0.008,0.004,0,10,0,41,0,8,13,0,9,0,0,9,0,1,8,14,0,0,6,0,13,1,2,0,17,41,1,27,1,2,0,15,13,0,11,1,7,2,0.104797514,0.15,0.43792517,-0.25,10,0.143980291,0.465277778,265,9.814814815,8.078490128,1217,45.07407407,36.07802853,27,27
m1087,51,0,0,0,0,0,0.035532995,0,0,0.005076142,0,0.008460237,0.008460237,0,0.005076142,0,0.001692047,0,0.003384095,0.005076142,0,0.003384095,0,0.005076142,0.003384095,0,0,0,0.001692047,0,0.005076142,0.025380711,0,0,0.00676819,0.00676819,0.00676819,0,0,0,0.001692047,0.001692047,0,0.001692047,0,0.001692047,0.003384095,0,0,0,0.003384095,0.016920474,0.003384095,0,0,0,0.001692047,0,0,0.003384095,0.001692047,0.001692047,0.011844332,0,0.001692047,0.00676819,0.001692047,0.001692047,0.013536379,0,0,0.005076142,0.00676819,0.001692047,0.001692047,0.018612521,0,0,0,0,0,0.001692047,0.001692047,0,0,0.003384095,0.008460237,0,0.001692047,0.005076142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005076142,0,0,0,0,0,0,0.040609137,0,0,0,0,0,0,0,0,0,0,0.005076142,0,0,0.001692047,0,0,0.015228426,0,0,0,0.001692047,0.011844332,0,0.001692047,0.00676819,0.003384095,0,0,0,0,0.001692047,0.001692047,0.001692047,0,0,0.001692047,0.001692047,0,0.00676819,0.003384095,0,0.001692047,0,0,0,0.011844332,0,0.00676819,0,0,0,0,0,0,0,0.001692047,0,0.001692047,0,0.008460237,0,0,0,0,0,0,0,0,0,0.008460237,0,0,0,0,0,0,0.001692047,0,182,0,10,1,12,56,52,20,21,0,16,0,8,24,17,0,1,7,0,16,0,2,3,14,95,0,27,2,1,0,9,12,0,9,0,5,4,0.085699734,0.260655446,0.398333333,-0.299305556,10,0.250165108,0.443472222,614,12.03921569,13.25165293,3473,68.09803922,78.81779806,49,4
m5464,812,0.000673401,0.0003367,0.002020202,0.0003367,0.000673401,0.002693603,0,0.0003367,0.005723906,0.004377104,0.009427609,0.001010101,0.002020202,0.005387205,0.0003367,0.003703704,0.0003367,0.009427609,0.003703704,0.0003367,0.008080808,0.001683502,0.014478114,0.0003367,0.0003367,0.002020202,0.005387205,0.003703704,0.004377104,0.006060606,0.005723906,0.001683502,0.000673401,0.003030303,0.001010101,0.0003367,0.001683502,0.000673401,0,0.009427609,0.004377104,0.0003367,0,0.007744108,0.001683502,0.011784512,0.002020202,0,0.001346801,0.000673401,0.002693603,0,0.000673401,0.0003367,0.0003367,0.011447811,0.0003367,0,0.006397306,0.004713805,0.002020202,0.006734007,0,0.000673401,0.002020202,0.0003367,0.007744108,0.006734007,0.0003367,0.011447811,0.006397306,0.004713805,0.010774411,0.003030303,0.004713805,0.001683502,0.0003367,0.003367003,0.001346801,0.000673401,0.004377104,0.003367003,0,0.0003367,0.005050505,0,0.009427609,0.013468013,0.016498316,0.003030303,0.003030303,0.004377104,0.001346801,0.000673401,0.006397306,0,0.0003367,0.002356902,0,0.002020202,0,0.0003367,0.001346801,0.001010101,0,0.005050505,0.002356902,0.003030303,0.0003367,0,0.002020202,0.0003367,0,0.000673401,0,0.0003367,0.003703704,0.001010101,0.001346801,0.005387205,0,0.001346801,0,0.005387205,0.002693603,0,0.001683502,0,0,0.003030303,0,0.003703704,0,0.002356902,0,0.0003367,0.001683502,0.001683502,0.003030303,0.0003367,0.001683502,0.006397306,0.001010101,0,0.000673401,0.002020202,0.000673401,0.002356902,0.001346801,0.001010101,0.003030303,0.0003367,0.0003367,0.010774411,0.000673401,0.003367003,0.004713805,0.001683502,0.002356902,0,0,0,0.000673401,0,0.001346801,0.001683502,0.000673401,0,0.000673401,0,0.006397306,0.002356902,0.004040404,0,0.003367003,0.003703704,0.001010101,0.000673401,0.0003367,0,0.0003367,0,0.001683502,0.0003367,0.002693603,0.003703704,0.002356902,0,0.000673401,0,0.01010101,0.002020202,0.003703704,0.0003367,0.002020202,444,0,794,8,200,502,124,86,82,0,196,6,206,278,414,2,20,136,0,200,10,54,76,366,912,46,436,40,28,0,318,182,0,152,10,308,76,0.240753057,0.246603674,0.423191705,-0.341988217,390,0.242028385,0.542988626,6030,7.426108374,6.202113745,29548,36.38916256,31.31527714,376,1
m49,22,0,0,0.015267176,0,0,0,0,0,0,0.007633588,0,0.007633588,0,0,0,0,0,0.007633588,0,0,0.007633588,0,0.007633588,0,0,0,0.007633588,0.007633588,0,0,0,0,0,0,0,0.007633588,0,0,0,0,0,0,0,0,0,0,0,0,0.022900763,0,0.007633588,0,0,0,0,0,0,0,0,0,0.022900763,0.007633588,0,0,0.007633588,0.015267176,0.007633588,0.015267176,0,0,0.015267176,0,0,0,0.015267176,0,0,0,0.022900763,0,0.007633588,0,0,0,0,0,0,0.015267176,0,0.007633588,0,0,0.007633588,0,0,0,0.015267176,0,0,0,0,0.015267176,0,0,0,0,0,0,0,0,0.007633588,0,0,0,0,0.007633588,0,0.007633588,0,0,0,0,0,0,0,0,0,0,0,0.007633588,0,0,0,0.007633588,0,0,0.007633588,0.007633588,0.007633588,0,0,0.007633588,0.007633588,0,0.015267176,0,0.015267176,0,0,0,0,0,0,0.007633588,0.007633588,0.007633588,0.022900763,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007633588,0.007633588,0.007633588,0,0,0,0,0,0.015267176,0,0,0,0,0,0,0,0,0,0,0,0.015267176,0,0,0,0,8,0,14,0,3,8,2,4,2,0,6,0,1,10,9,0,0,1,0,4,0,2,0,10,28,2,7,0,1,0,8,3,0,3,0,7,4,0.279987245,0.351378424,0.4,-0.403125,11,0.277669343,0.576893939,134,6.090909091,7.166266245,659,29.95454545,36.80473941,22,1
m9968,4,0,0,0,0,0,0,0,0,0.03125,0,0.03125,0,0,0,0,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0,0,0,0.015625,0,0,0,0,0,0,0,0.03125,0,0.015625,0.015625,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0.03125,0,0,0,0,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0,0,0.015625,0,0,0,0,0,0,0,0,0,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0.015625,0,0,0,0,0,0,0,0,0.015625,0,0,0.015625,0.03125,0,0,0,0,0,0,0,0,0,0,0,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,4,7,1,3,2,0,4,0,0,3,3,0,1,1,0,0,0,0,0,7,6,0,5,0,0,0,7,1,0,4,0,1,2,0,0.009027778,0.285714286,-0.175694444,3,0.240857289,0.404497354,64,16,10.83974169,324,81,53.69823088,4,13
m4238,47,0,0,0,0,0,0,0,0,0.019736842,0,0.023026316,0,0.003289474,0,0,0.003289474,0,0.009868421,0,0,0,0,0.009868421,0.003289474,0,0,0.013157895,0,0.003289474,0,0.003289474,0,0,0.006578947,0,0.006578947,0,0,0,0,0.003289474,0,0,0.003289474,0,0.013157895,0,0,0.003289474,0,0,0,0,0,0,0.016447368,0.006578947,0,0.003289474,0.003289474,0.006578947,0,0,0,0,0,0,0,0.003289474,0,0.003289474,0,0.003289474,0,0.006578947,0,0,0.006578947,0.003289474,0,0.003289474,0.003289474,0,0,0,0,0,0.009868421,0,0,0,0.003289474,0,0,0.003289474,0,0,0,0,0.003289474,0,0,0,0,0,0.003289474,0,0.003289474,0,0,0.003289474,0,0,0,0,0,0.003289474,0,0,0.003289474,0,0,0,0,0,0,0,0,0,0,0,0.003289474,0.003289474,0,0,0,0.009868421,0,0.006578947,0,0.003289474,0.016447368,0.003289474,0,0,0,0.003289474,0,0,0,0,0,0,0.009868421,0.003289474,0.006578947,0,0,0.003289474,0,0,0,0,0,0,0,0,0.003289474,0,0,0,0,0.019736842,0,0,0.006578947,0.003289474,0,0,0,0,0,0,0.003289474,0.003289474,0,0.003289474,0.003289474,0.003289474,0,0.003289474,0,0,0.003289474,0.003289474,24,0,49,0,4,15,3,9,3,0,5,0,7,12,19,0,2,6,0,4,1,1,2,18,61,0,29,0,4,1,21,2,0,12,0,14,4,0.085795689,0.187082869,0.516450216,-0.4,20,0.243391194,0.604772727,318,6.765957447,4.152480755,1602,34.08510638,26.72780828,44,24
m3670,2,0,0,0,0,0,0.029411765,0,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0,0,0,0,0,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0,0,0,0,0.058823529,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0,0,0,0,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0,0,0,0,0.029411765,0,0,0,0,0,0,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,1,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,13,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,-0.053571429,1,0,0.440178571,35,17.5,3.5,208,104,22,2,8
m5882,62,0.001824818,0,0,0,0,0,0,0,0.003649635,0,0.005474453,0,0,0.02189781,0,0.001824818,0,0.012773723,0.020072993,0,0.001824818,0,0.018248175,0.00729927,0,0,0.005474453,0.005474453,0,0.003649635,0,0.001824818,0,0.001824818,0,0,0,0,0,0.001824818,0.005474453,0,0,0.003649635,0,0.032846715,0.001824818,0,0,0,0.001824818,0,0,0,0,0.027372263,0,0,0.005474453,0.003649635,0.001824818,0.003649635,0,0.001824818,0,0,0,0.00729927,0,0.005474453,0.001824818,0,0.00729927,0.001824818,0.009124088,0,0.00729927,0.009124088,0,0.003649635,0.003649635,0,0,0,0.003649635,0,0.00729927,0.01459854,0,0,0.005474453,0.001824818,0,0.003649635,0.020072993,0,0,0,0,0.001824818,0,0,0,0,0,0.001824818,0.001824818,0.001824818,0.001824818,0,0.003649635,0.001824818,0,0,0,0,0.001824818,0,0,0.003649635,0,0.001824818,0,0.001824818,0.001824818,0,0,0,0,0.003649635,0,0.001824818,0,0.001824818,0,0,0.001824818,0.003649635,0,0,0.001824818,0.009124088,0.00729927,0,0,0.001824818,0,0.001824818,0,0,0.001824818,0.001824818,0,0.009124088,0,0.010948905,0.01459854,0,0.001824818,0,0,0,0,0,0,0,0,0,0,0,0.012773723,0.003649635,0.005474453,0,0.001824818,0.003649635,0,0,0,0,0,0,0.001824818,0,0.001824818,0.001824818,0,0,0.001824818,0,0.005474453,0.00729927,0.003649635,0,0.001824818,40,0,88,2,19,48,4,10,8,1,22,0,25,17,34,0,1,10,0,12,2,5,5,51,58,1,43,6,3,0,26,23,0,16,1,25,4,0.163858425,0.220279253,0.379893939,-0.2515625,32,0.182791695,0.55784632,569,9.177419355,7.648580289,2769,44.66129032,39.27526659,60,9
m6499,188,0.001452433,0,0.001452433,0,0.000726216,0.004357298,0.001452433,0,0.004357298,0.001452433,0.013071895,0,0,0.007988381,0,0.005083515,0,0.016702977,0.007262164,0,0.005809731,0,0.01016703,0,0.000726216,0.002904866,0.004357298,0.004357298,0.002178649,0.005083515,0.005809731,0.002904866,0.001452433,0.000726216,0,0.001452433,0,0,0.000726216,0.002178649,0.005083515,0,0,0.004357298,0.000726216,0.013798112,0.002178649,0,0.002904866,0.000726216,0.002904866,0.000726216,0,0.001452433,0,0.011619463,0.001452433,0.001452433,0.009440813,0.002178649,0.001452433,0.003631082,0,0,0.000726216,0,0.003631082,0.007988381,0.001452433,0.003631082,0.015976761,0.004357298,0.008714597,0.002178649,0.009440813,0.001452433,0,0.002904866,0.005083515,0.002178649,0.001452433,0.002904866,0,0.000726216,0.006535948,0.000726216,0.003631082,0.015250545,0.033405955,0.002178649,0.002178649,0.002178649,0.004357298,0.001452433,0.009440813,0,0,0,0,0,0,0,0.002178649,0.000726216,0,0.003631082,0.000726216,0.001452433,0.001452433,0,0,0.001452433,0,0,0.002178649,0,0.001452433,0,0.000726216,0.004357298,0,0.002178649,0,0.002178649,0.000726216,0,0.000726216,0,0,0.002904866,0,0,0,0.002178649,0,0,0.000726216,0,0.002178649,0.002178649,0.000726216,0.010893246,0.001452433,0.000726216,0.002178649,0.002178649,0.000726216,0.000726216,0.000726216,0,0,0.000726216,0.002178649,0.015976761,0,0.006535948,0.003631082,0.002178649,0.000726216,0,0,0,0.000726216,0.001452433,0,0.000726216,0,0.000726216,0.000726216,0,0.013071895,0.000726216,0.002178649,0.000726216,0.001452433,0.002178649,0,0.001452433,0,0.002178649,0,0,0.003631082,0.001452433,0.000726216,0.002904866,0.002178649,0,0.001452433,0,0.012345679,0.002904866,0.002904866,0.002178649,0.002178649,105,1,225,2,26,96,11,24,20,0,38,1,51,70,75,1,0,31,0,40,2,12,9,117,237,7,113,4,11,0,100,39,0,31,1,59,19,0.275368112,0.182191632,0.502437943,-0.405388471,85,0.233417565,0.636213324,1422,7.563829787,7.580852855,7487,39.82446809,39.78500783,186,15
